target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_1,5,1,202.63712385500915,0.9457557201385498
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_9,4,9,195.2984303108749,0.9593446254730225
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_5,5,5,203.35575485755902,0.9533253908157349
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_1,3,1,194.24915234698727,0.9366355538368225
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_12,2,12,185.98230389043783,0.9362941980361938
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_4,2,4,187.30765314117642,0.9401285648345947
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_15,5,15,204.45948840169962,0.9527937173843384
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_11,1,11,161.92194013943117,0.5700136423110962
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_8,5,8,203.2667243363395,0.9613218903541565
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_3,2,3,185.8497061992699,0.9370267391204834
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_6,2,6,189.2435277613888,0.9383178949356079
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_12,4,12,197.42991449102738,0.9678663015365601
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_11,4,11,197.43336334835666,0.9581648111343384
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_7,3,7,195.4921055053609,0.9519420862197876
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_2,4,2,196.80971830748186,0.9645142555236816
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_8,4,8,195.95866647562588,0.9546225070953369
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_14,3,14,192.9342570155634,0.9530156850814819
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_1,4,1,195.92254332530575,0.9478497505187988
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_3,4,3,194.6715324901768,0.9604580402374268
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_11,2,11,188.29005664794397,0.9324601888656616
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_15,4,15,196.63582967329035,0.9589399099349976
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_9,2,9,186.9688869440733,0.9368410706520081
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_1,2,1,187.890040077856,0.9219791889190674
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_8,3,8,193.71553867974814,0.9549169540405273
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_9,3,9,193.26982474483722,0.9481218457221985
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_14,5,14,205.34002122051402,0.9515959024429321
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_11,5,11,205.17820491782618,0.9616360664367676
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_2,5,2,201.18103471505265,0.9581926465034485
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_10,1,10,158.51148811135414,0.585471510887146
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_5,3,5,194.05101806686255,0.9523670673370361
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_8,1,8,158.16919353106607,0.5764454007148743
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_6,4,6,200.1364221253836,0.9586485624313354
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_3,3,3,194.5694405706656,0.9470980167388916
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_4,3,4,194.77443485782157,0.9457995891571045
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_10,3,10,191.09734341291676,0.9422745108604431
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_2,2,2,188.11536102467971,0.9295995235443115
